id;City;State
1;ABERDEEN;SOUTH DAKOTA
2;ABILENE;TEXAS
3;ADAK ISLAND;ALASKA
4;AGUADILLA;PUERTO RICO
5;AKRON;OHIO
6;ALBANY;GEORGIA
7;ALBANY;NEW YORK
8;ALBUQUERQUE;NEW MEXICO
9;ALEXANDRIA;LOUISIANA
10;ALLENTOWN/BETHLEHEM/EASTON;PENNSYLVANIA
11;ALPENA;MICHIGAN
12;AMARILLO;TEXAS
13;ANCHORAGE;ALASKA
14;APPLETON;WISCONSIN
15;ARCATA/EUREKA;CALIFORNIA
16;ARLINGTON;VIRGINIA
17;ASHEVILLE;NORTH CAROLINA
18;ASHLAND;WEST VIRGINIA
19;ASPEN;COLORADO
20;ATLANTA;GEORGIA
21;ATLANTIC CITY;NEW JERSEY
22;AUGUSTA;GEORGIA
23;AURORA;OREGON
24;AUSTIN;TEXAS
25;BAKERSFIELD;CALIFORNIA
26;BALTIMORE;MARYLAND
27;BANGOR;MAINE
28;BARROW;ALASKA
29;BATON ROUGE;LOUISIANA
30;BEAUFORT;NORTH CAROLINA
31;BEAUMONT/PORT ARTHUR;TEXAS
32;BELLEVILLE;ILLINOIS
33;BELLEVILLE;PENNSYLVANIA
34;BELLINGHAM;WASHINGTON
35;BEMIDJI;MINNESOTA
36;BEND;OREGON
37;BEND/REDMOND;OREGON
38;BETHEL;ALASKA
39;BILLINGS;MONTANA
40;BINGHAMTON;NEW YORK
41;BIRMINGHAM;ALABAMA
42;BISMARCK/MANDAN;NORTH DAKOTA
43;BLOOMINGTON/NORMAL;ILLINOIS
44;BOISE;IDAHO
45;BOSTON;MASSACHUSETTS
46;BOZEMAN;MONTANA
47;BRAINERD;MINNESOTA
48;BRANSON;MISSOURI
49;BRISTOL/JOHNSON CITY/KINGSPORT;TENNESSEE
50;BROWNSVILLE;TEXAS
51;BRUNSWICK;GEORGIA
52;BUFFALO;NEW YORK
53;BURBANK;CALIFORNIA
54;BURLINGAME;CALIFORNIA
55;BURLINGTON;VERMONT
56;BUTTE;MONTANA
57;CAMBRIDGE;MASSACHUSETTS
58;CAMDEN;DELAWARE
59;CAMERON;SOUTH CAROLINA
60;CANYON;TEXAS
61;CAPE GIRARDEAU;MISSOURI
62;CASPER;WYOMING
63;CEDAR CITY;UTAH
64;CEDAR RAPIDS/IOWA CITY;IOWA
65;CHAMPAIGN/URBANA;ILLINOIS
66;CHARLESTON;SOUTH CAROLINA
67;CHARLESTON/DUNBAR;WEST VIRGINIA
68;CHARLOTTE;NORTH CAROLINA
69;CHARLOTTE AMALIE;U.S. VIRGIN ISLANDS
70;CHARLOTTESVILLE;VIRGINIA
71;CHATTANOOGA;TENNESSEE
72;CHEYENNE;WYOMING
73;CHICAGO;ILLINOIS
74;CHRISTIANSTED;U.S. VIRGIN ISLANDS
75;CINCINNATI;KENTUCKY
76;CLARKSBURG/FAIRMONT;WEST VIRGINIA
77;CLAYTON;INDIANA
78;CLEVELAND;MISSISSIPPI
79;CLEVELAND;OHIO
80;CODY;WYOMING
81;COLD BAY;ALASKA
82;COLLEGE STATION/BRYAN;TEXAS
83;COLORADO SPRINGS;COLORADO
84;COLUMBIA;MISSOURI
85;COLUMBIA;SOUTH CAROLINA
86;COLUMBUS;GEORGIA
87;COLUMBUS;MISSISSIPPI
88;COLUMBUS;OHIO
89;CONCORD;NORTH CAROLINA
90;CORDOVA;ALASKA
91;CORPUS CHRISTI;TEXAS
92;COTTONWOOD;IDAHO
93;COVINGTON;LOUISIANA
94;DALLAS;TEXAS
95;DALLAS/FORT WORTH;TEXAS
96;DAYTON;OHIO
97;DAYTONA BEACH;FLORIDA
98;DEADHORSE;ALASKA
99;DECATUR;ILLINOIS
100;DEL RIO;TEXAS
101;DENVER;COLORADO
102;DES MOINES;IOWA
103;DETROIT;MICHIGAN
104;DEVILS LAKE;NORTH DAKOTA
105;DICKINSON;NORTH DAKOTA
106;DILLINGHAM;ALASKA
107;DODGE CITY;KANSAS
108;DOTHAN;ALABAMA
109;DUBUQUE;IOWA
110;DULUTH;MINNESOTA
111;DUNCAN;OKLAHOMA
112;DURANGO;COLORADO
113;EAGLE;COLORADO
114;EAU CLAIRE;WISCONSIN
115;EL PASO;TEXAS
116;EL PRADO;NEW MEXICO
117;ELKO;NEVADA
118;ELMIRA/CORNING;NEW YORK
119;ERIE;PENNSYLVANIA
120;ESCANABA;MICHIGAN
121;EUGENE;OREGON
122;EVANSVILLE;INDIANA
123;EVERETT;WASHINGTON
124;FAIRBANKS;ALASKA
125;FARGO;NORTH DAKOTA
126;FAYETTEVILLE;ARKANSAS
127;FAYETTEVILLE;NORTH CAROLINA
128;FLAGSTAFF;ARIZONA
129;FLINT;MICHIGAN
130;FORT LAUDERDALE;FLORIDA
131;FORT MYERS;FLORIDA
132;FORT SMITH;ARKANSAS
133;FORT WAYNE;INDIANA
134;FORT WORTH;TEXAS
135;FORTH WORTH;TEXAS
136;FRESNO;CALIFORNIA
137;FT. WORTH;TEXAS
138;GAINESVILLE;FLORIDA
139;GARDEN CITY;KANSAS
140;GILLETTE;WYOMING
141;GRAND FORKS;NORTH DAKOTA
142;GRAND ISLAND;NEBRASKA
143;GRAND JUNCTION;COLORADO
144;GRAND RAPIDS;MICHIGAN
145;GREAT FALLS;MONTANA
146;GREEN BAY;WISCONSIN
147;GREENBELT;MARYLAND
148;GREENSBORO/HIGH POINT;NORTH CAROLINA
149;GREENVILLE;DELAWARE
150;GREENVILLE;NORTH CAROLINA
151;GREER;SOUTH CAROLINA
152;GUAM;U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
153;GULFPORT/BILOXI;MISSISSIPPI
154;GUNNISON;COLORADO
155;GUSTAVUS;ALASKA
156;HAGERSTOWN;MARYLAND
157;HANCOCK/HOUGHTON;MICHIGAN
158;HARLINGEN/SAN BENITO;TEXAS
159;HARRISBURG;PENNSYLVANIA
160;HARTFORD;CONNECTICUT
161;HASKELL;OKLAHOMA
162;HATTIESBURG/LAUREL;MISSISSIPPI
163;HAYDEN;COLORADO
164;HAYS;KANSAS
165;HELENA;MONTANA
166;HIBBING;MINNESOTA
167;HILO;HAWAII
168;HILTON HEAD;SOUTH CAROLINA
169;HOBBS;NEW MEXICO
170;HONOLULU;HAWAII
171;HORSESHOE BAY;TEXAS
172;HOUSTON;TEXAS
173;HUNTSVILLE;ALABAMA
174;HYANNIS;MASSACHUSETTS
175;IDAHO FALLS;IDAHO
176;INDANAPOLIS;INDIANA
177;INDIANAPOLIS;INDIANA
178;INTERNATIONAL FALLS;MINNESOTA
179;IRON MOUNTAIN/KINGSFD;MICHIGAN
180;IRVING;TEXAS
181;ISLIP;NEW YORK
182;ITHACA/CORTLAND;NEW YORK
183;JACKSON;WYOMING
184;JACKSON/VICKSBURG;MISSISSIPPI
185;JACKSONVILLE;FLORIDA
186;JACKSONVILLE/CAMP LEJEUNE;NORTH CAROLINA
187;JAMESTOWN;NORTH DAKOTA
188;JOPLIN;MISSOURI
189;JUNEAU;ALASKA
190;KAHULUI;HAWAII
191;KALAMAZOO;MICHIGAN
192;KALISPELL;MONTANA
193;KANSAS CITY;MISSOURI
194;KEARNEY;NEBRASKA
195;KENNETT;MISSOURI
196;KETCHIKAN;ALASKA
197;KEY WEST;FLORIDA
198;KILLEEN;TEXAS
199;KIMBERLY;IDAHO
200;KING SALMON;ALASKA
201;KNOXVILLE;TENNESSEE
202;KODIAK;ALASKA
203;KONA;HAWAII
204;KOTZEBUE;ALASKA
205;LA CROSSE;WISCONSIN
206;LAFAYETTE;LOUISIANA
207;LAGRANGE;INDIANA
208;LAKE CHARLES;LOUISIANA
209;LANSING;MICHIGAN
210;LARAMIE;WYOMING
211;LAREDO;TEXAS
212;LAS VEGAS;NEVADA
213;LATROBE;PENNSYLVANIA
214;LAWTON/FORT SILL;OKLAHOMA
215;LEESBURG;VIRGINIA
216;LEWISBURG;WEST VIRGINIA
217;LEWISTON;IDAHO
218;LEXINGTON;KENTUCKY
219;LIBERAL;KANSAS
220;LIHUE;HAWAII
221;LINCOLN;NEBRASKA
222;LITTLE ROCK;ARKANSAS
223;LONG BEACH;CALIFORNIA
224;LONG ISLAND CITY;NEW YORK
225;LONGVIEW;TEXAS
226;LOS ANGELES;CALIFORNIA
227;LOUISVILLE;KENTUCKY
228;LUBBOCK;TEXAS
229;LYNCHBURG;VIRGINIA
230;MADISON;WISCONSIN
231;MAMMOTH LAKES;CALIFORNIA
232;MANCHESTER;NEW HAMPSHIRE
233;MANHATTAN/FT. RILEY;KANSAS
234;MARQUETTE;MICHIGAN
235;MARTHA'S VINEYARD;MASSACHUSETTS
236;MEDFORD;OREGON
237;MELBOURNE;FLORIDA
238;MEMPHIS;TENNESSEE
239;MERIDIAN;MISSISSIPPI
240;MIAMI;FLORIDA
241;MIDLAND/ODESSA;TEXAS
242;MILFORD;NEBRASKA
243;MILTON;FLORIDA
244;MILWAUKEE;WISCONSIN
245;MINNEAPOLIS;MINNESOTA
246;MINOT;NORTH DAKOTA
247;MIRAMAR;FLORIDA
248;MISSION/MCALLEN/EDINBURG;TEXAS
249;MISSOULA;MONTANA
250;MOAB;UTAH
251;MOBILE;ALABAMA
252;MOLINE;ILLINOIS
253;MONROE;LOUISIANA
254;MONTEREY;CALIFORNIA
255;MONTGOMERY;ALABAMA
256;MONTROSE/DELTA;COLORADO
257;MOSINEE;WISCONSIN
258;MOUNT SHASTA;CALIFORNIA
259;MOUNT VERNON;WASHINGTON
260;MUSKEGON;MICHIGAN
261;MYRTLE BEACH;SOUTH CAROLINA
262;NANTUCKET;MASSACHUSETTS
263;NAPOLEON;NORTH DAKOTA
264;NASHVILLE;TENNESSEE
265;NEW BERN/MOREHEAD/BEAUFORT;NORTH CAROLINA
266;NEW HAVEN;CONNECTICUT
267;NEW ORLEANS;LOUISIANA
268;NEW YORK;NEW YORK
269;NEWARK;DELAWARE
270;NEWARK;NEW JERSEY
271;NEWBURGH/POUGHKEEPSIE;NEW YORK
272;NEWPORT;ARKANSAS
273;NEWPORT NEWS/WILLIAMSBURG;VIRGINIA
274;NIAGARA FALLS;NEW YORK
275;NOME;ALASKA
276;NORFOLK;VIRGINIA
277;NORTH BEND/COOS BAY;OREGON
278;NORTH KINGSTOWN;RHODE ISLAND
279;NORTH PLATTE;NEBRASKA
280;NORTH SALT LAKE;UTAH
281;NORWALK;CONNECTICUT
282;OAKLAND;CALIFORNIA
283;OGDEN;UTAH
284;OGDENSBURG;NEW YORK
285;OKLAHOMA CITY;OKLAHOMA
286;OLD CHATHAM;NEW YORK
287;OMAHA;NEBRASKA
288;ONTARIO;CALIFORNIA
289;ORLANDO;FLORIDA
290;OWENSBORO;KENTUCKY
291;PADUCAH;KENTUCKY
292;PAGO PAGO;U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
293;PALM SPRINGS;CALIFORNIA
294;PANAMA CITY;FLORIDA
295;PASCO/KENNEWICK/RICHLAND;WASHINGTON
296;PELLSTON;MICHIGAN
297;PENSACOLA;FLORIDA
298;PEORIA;ILLINOIS
299;PETERSBURG;ALASKA
300;PHILADELPHIA;PENNSYLVANIA
301;PHOENIX;ARIZONA
302;PIERRE;SOUTH DAKOTA
303;PINE BLUFF;ARKANSAS
304;PITTSBURGH;PENNSYLVANIA
305;PLATTSBURGH;NEW YORK
306;POCATELLO;IDAHO
307;PONCE;PUERTO RICO
308;PORT EWEN;NEW YORK
309;PORTLAND;MAINE
310;PORTLAND;OREGON
311;PORTSMOUTH;NEW HAMPSHIRE
312;PRESCOTT;ARIZONA
313;PROVIDENCE;RHODE ISLAND
314;PROVO;UTAH
315;PUEBLO;COLORADO
316;PUNTA GORDA;FLORIDA
317;QUINCY;ILLINOIS
318;RALEIGH/DURHAM;NORTH CAROLINA
319;RAPID CITY;SOUTH DAKOTA
320;REDDING;CALIFORNIA
321;RENO;NEVADA
322;RHINELANDER;WISCONSIN
323;RICHMOND;VIRGINIA
324;RIVERTON/LANDER;WYOMING
325;ROANOKE;VIRGINIA
326;ROCHESTER;MINNESOTA
327;ROCHESTER;NEW YORK
328;ROCK SPRINGS;WYOMING
329;ROCKAWAY;NEW JERSEY
330;ROCKFORD;ILLINOIS
331;ROMEOVILLE;ILLINOIS
332;ROSWELL;NEW MEXICO
333;SACRAMENTO;CALIFORNIA
334;SAGINAW/BAY CITY/MIDLAND;MICHIGAN
335;SAINT GEORGE;UTAH
336;SAIPAN;U.S. PACIFIC TRUST TERRITORIES AND POSSESSIONS
337;SALINA;KANSAS
338;SALT LAKE CITY;UTAH
339;SAN ANGELO;TEXAS
340;SAN ANTONIO;TEXAS
341;SAN DIEGO;CALIFORNIA
342;SAN FRANCISCO;CALIFORNIA
343;SAN JOSE;CALIFORNIA
344;SAN JUAN;PUERTO RICO
345;SAN LUIS OBISPO;CALIFORNIA
346;SANFORD;FLORIDA
347;SANTA ANA;CALIFORNIA
348;SANTA BARBARA;CALIFORNIA
349;SANTA FE;NEW MEXICO
350;SANTA MARIA;CALIFORNIA
351;SANTA ROSA;CALIFORNIA
352;SARASOTA/BRADENTON;FLORIDA
353;SAULT STE. MARIE;MICHIGAN
354;SAVANNAH;GEORGIA
355;SCOTTSBLUFF;NEBRASKA
356;SCOTTSDALE;ARIZONA
357;SCRANTON/WILKES-BARRE;PENNSYLVANIA
358;SEATAC;WASHINGTON
359;SEATTLE;WASHINGTON
360;SHERIDAN;WYOMING
361;SHREVEPORT;LOUISIANA
362;SIOUX CITY;IOWA
363;SIOUX FALLS;SOUTH DAKOTA
364;SITKA;ALASKA
365;SOUTH BEND;INDIANA
366;SPOKANE;WASHINGTON
367;SPRINGFIELD;ILLINOIS
368;SPRINGFIELD;MISSOURI
369;SPRINGFIELD;OHIO
370;ST. CLOUD;MINNESOTA
371;ST. GEORGE;UTAH
372;ST. LOUIS;MISSOURI
373;ST. PETERSBURG;FLORIDA
374;STATE COLLEGE;PENNSYLVANIA
375;STAUNTON;VIRGINIA
376;STILLWATER;OKLAHOMA
377;STOCKTON;CALIFORNIA
378;SUN VALLEY/HAILEY/KETCHUM;IDAHO
379;SYKESVILLE;MARYLAND
380;SYRACUSE;NEW YORK
381;TALLAHASSEE;FLORIDA
382;TAMPA;FLORIDA
383;TEXARKANA;ARKANSAS
384;THOUSAND OAKS;CALIFORNIA
385;TOLEDO;OHIO
386;TRAVERSE CITY;MICHIGAN
387;TRENTON;NEW JERSEY
388;TUCSON;ARIZONA
389;TULSA;OKLAHOMA
390;TWIN FALLS;IDAHO
391;TYLER;TEXAS
392;VALDOSTA;GEORGIA
393;VALPARAISO;FLORIDA
394;VANDALIA;OHIO
395;VERNAL;UTAH
396;WACO;TEXAS
397;WASHINGTON;VIRGINIA
398;WATERLOO;IOWA
399;WATERTOWN;NEW YORK
400;WATERTOWN;SOUTH DAKOTA
401;WAUPUN;WISCONSIN
402;WEST PALM BEACH/PALM BEACH;FLORIDA
403;WEST YELLOWSTONE;MONTANA
404;WHITE PLAINS;NEW YORK
405;WICHITA;KANSAS
406;WICHITA FALLS;TEXAS
407;WILLISTON;NORTH DAKOTA
408;WILMINGTON;DELAWARE
409;WILMINGTON;NORTH CAROLINA
410;WILMINGTON;OHIO
411;WORCESTER;MASSACHUSETTS
412;WRANGELL;ALASKA
413;YAKUTAT;ALASKA
414;YUMA;ARIZONA
